Date,Open,High,Low,Close,Adj Close,Volume_M
3/28/2012,324.797577,328.065338,324.324341,653.964539,326.655609,5.0967
3/29/2012,325.499939,327.069061,320.947021,646.634644,322.994324,3.8629
3/30/2012,324.658112,325.524841,319.303162,639.484314,319.422729,4.6387
4/2/2012,319.188599,322.541046,316.23468,645.148743,322.252106,4.5854
4/3/2012,321.499939,322.765198,318.127594,640.860535,320.110138,4.105
4/4/2012,318.032928,318.306915,314.371643,633.411011,316.389099,3.2673
4/5/2012,314.939514,317.026703,313.111389,630.588745,314.97937,4.6547
4/9/2012,313.066559,316.47876,311.477509,629.112854,314.242157,4.3816
4/10/2012,315.577148,316.065308,311.108887,625.143738,312.259583,4.9825
4/11/2012,315.8013,316.8125,314.471283,634.21875,316.792572,4.4143
4/12/2012,319.975647,325.350494,318.93454,649.2276,324.28949,11.5563
4/13/2012,322.565948,323.283264,310.605774,622.889893,311.133789,16.3797
4/16/2012,310.336792,310.740265,299.706635,604.410583,301.903381,11.4267
4/17/2012,303.143738,307.691681,302.371643,607.901001,303.646851,6.0704
4/18/2012,302.889709,305.255829,300.27948,605.786865,302.59082,5.3589
4/19/2012,301.714111,306.97937,298.381592,597.65918,298.531036,6.6138
4/20/2012,300.996796,303.288208,296.802521,594.42804,296.917084,6.1397
4/23/2012,295.342987,298.107605,293.998016,595.963806,297.684204,4.4119
4/24/2012,298.003021,302.182343,297.544739,599.623779,299.51236,3.8726
4/25/2012,300.872253,304.533539,300.314362,608.050659,303.721588,3.6558
4/26/2012,304.314362,307.84613,303.711609,613.784912,306.585846,4.2006
4/27/2012,306.361694,307.218475,304.159943,613.296265,306.341766,3.2849
4/30/2012,305.350464,306.889709,299.183594,603.19397,301.295685,4.8326
5/1/2012,300.767639,304.658081,298.974365,602.775085,301.086456,4.0196
5/2/2012,299.477478,302.919586,299.183594,605.597412,302.496185,3.235
5/3/2012,303.671753,306.267029,303.338013,609.347046,304.369141,3.7499
5/4/2012,301.828674,302.809998,297.29068,595.335571,297.370392,4.4313
5/7/2012,296.389069,304.144989,296.389069,605.886536,302.640625,4.0038
5/8/2012,301.634399,307.298157,299.228424,611.112244,305.250854,5.3746
5/9/2012,302.276978,307.039154,299.781342,607.482239,303.437653,4.675
5/10/2012,305.335541,306.944489,303.975616,611.979858,305.684235,3.0832
5/11/2012,304.0354,306.127563,301.255829,603.572937,301.484955,4.2144
5/14/2012,299.26828,303.113861,299.16864,602.346252,300.872253,3.6624
5/15/2012,301.544739,306.351715,300.747711,609.436829,304.413971,4.2199
